Partlist

Exported from PR9022.brd at 9/28/15 9:47 PM

EAGLE Version 6.6.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part       Value          Package           Library          Position (mm)         Orientation

AMP                       8-MSOP            PR_Parts_Library (34.1 10.2)           R0
ANT_MOUNT  DNP            PEM_M3            PR_Parts_Library (9.5 35)              R0
C1         22nF           0603_CPL          PR_Parts_Library (29.01 59.6)          R180
C2         22nF           0603_CPL          PR_Parts_Library (24.7 59.6)           R0
C3         .1uF           0603_CPL          PR_Parts_Library (30.24 58.03)         R0
C8         1uF            0603_CPL          PR_Parts_Library (34.2 51.7)           R0
C10        22pF           0603_CPL          PR_Parts_Library (24.7 61.3)           R0
C11        22pF           0603_CPL          PR_Parts_Library (29 61.3)             R180
C14        47pF           0603_CPL          PR_Parts_Library (24.7 54)             R180
C20        .22uF          0603_CPL          PR_Parts_Library (31.8 4)              R0
C21        .22uF          0603_CPL          PR_Parts_Library (35.5 2.2)            R0
C22        .22uF          0603_CPL          PR_Parts_Library (38.5 7)              R90
C23        .1uF           0603_CPL          PR_Parts_Library (34.5 15.1)           R90
C24        1uF            0603_CPL          PR_Parts_Library (36.5 15.1)           R90
C25        10uF           0603_CPL          PR_Parts_Library (32.5 15.1)           R90
C32        10uF           0603_CPL          PR_Parts_Library (42 52.3)             R270
C33        .1uF           0603_CPL          PR_Parts_Library (40.2 52.3)           R270
C40        220uF          NICHICON_UD_63    PR_Parts_Library (45.7 12.2)           R180
D1                        SOT23_CPL         PR_Parts_Library (16.4 43.5)           R315
FET1                      SOT23_CPL         PR_Parts_Library (59.4 20.5)           R0
ISP                       2X3-NS            PR_Parts_Library (43.8 64.2)           MR0
JP5                       BK92_AA_BATT      PR_Parts_Library (35 53.5)             MR180
JP6                       BK92_AA_BATT      PR_Parts_Library (35 16.5)             MR0
L1         180nH          0805_ADAFRUIT     PR_Parts_Library (22 53.2)             R270
L02        2.2k@100MHz    0603_CPL          PR_Parts_Library (34.7 61.3)           R270
L03        2.2k@100MHz    0603_CPL          PR_Parts_Library (40 11.8)             R90
LED                       CHIPLED_0805      adafruit         (64.2 50)             R180
MARK1                     FIDUCIAL_1MM      PR_Parts_Library (16.2 8.5)            R0
MARK2                     FIDUCIAL_1MM      PR_Parts_Library (33 67)               R0
MARK3                     FIDUCIAL_1MM      PR_Parts_Library (67 35)               R0
MCU                       8-SOIC            PR_Parts_Library (43.7 56.4)           R90
R1                        RV170SF_SW_POT    PR_Parts_Library (60.5 35)             R270
R2         330            0603_CPL          PR_Parts_Library (29.5 53.1)           R180
R3         4.7K           0603_CPL          PR_Parts_Library (30.6 54.4)           R0
R4         330            0603_CPL          PR_Parts_Library (34.8 54.4)           R180
R5         330            0603_CPL          PR_Parts_Library (34.8 56.8)           R180
R6         10K            0603_CPL          PR_Parts_Library (29.5 51.7)           R180
R7         4.7K           0603_CPL          PR_Parts_Library (34.8 55.6)           R0
R8         4.7K           0603_CPL          PR_Parts_Library (34.8 58)             R0
R20        10K            0603_CPL          PR_Parts_Library (29.9 10.2)           R90
R21        12K            0603_CPL          PR_Parts_Library (35.5 4)              R180
R22        12K            0603_CPL          PR_Parts_Library (36.7 7)              R270
R23        100K           0603_CPL          PR_Parts_Library (36.7 10.2)           R90
R24        100K           0603_CPL          PR_Parts_Library (31.7 10.2)           R270
R25        0 ohm          0805_ADAFRUIT     PR_Parts_Library (38.6 15.1)           R90
R26        0 ohm          0805_ADAFRUIT     PR_Parts_Library (30.4 15.1)           R90
R30        10K            0603_CPL          PR_Parts_Library (45.4 53)             R0
R31        1K             0603_CPL          PR_Parts_Library (62 50)               R90
R40        DNP            0603_CPL          PR_Parts_Library (24.2 15.3)           R90
SPKR_PLACE DNP            PR2024_SPKR_PLACE PR_Parts_Library (35 35)               R0
SW1                       C&K_PTS645_SMT    PR_Parts_Library (52.8 59.9)           R325
T1                        TP20R             PR_Parts_Library (10.6 44.6)           MR0
T2                        TP20R             PR_Parts_Library (60 35)               MR0
T3                        TP20R             PR_Parts_Library (60 30)               MR0
T4                        TP20R             PR_Parts_Library (60 40)               MR0
T5                        TP20R             PR_Parts_Library (34 64)               MR0
T6                        TP20R             PR_Parts_Library (37 21)               MR0
T7                        TP20R             PR_Parts_Library (32 21)               MR0
T8                        TP20R             PR_Parts_Library (51 63)               MR0
T9                        TP20R             PR_Parts_Library (54 62)               MR0
T10                       TP20R             PR_Parts_Library (49 64)               MR0
T11                       TP20R             PR_Parts_Library (37 67)               MR0
T12                       TP20R             PR_Parts_Library (37 64)               MR0
T13                       TP20R             PR_Parts_Library (39 68)               MR0
T14                       TP20R             PR_Parts_Library (66 24.5)             MR0
T15                       TP20R             PR_Parts_Library (66 45.5)             MR0
T16                       TP20R             PR_Parts_Library (53 27)               MR0
T17                       TP20R             PR_Parts_Library (48 37)               MR0
U1                        SI470X_20_QFN     PR_Parts_Library (26.9 56.9)           R90
X1                        4-SOJ             PR_Parts_Library (27.2 64.58)          R0
